RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5351,15605350,Dubois,675.0,GERMANY,Female,39,4,0.0,2,1,0,132737.97,0
5954,15605953,Costa,561.0,Spain,Male,68,2,,2,0,1,178455.44,1
4363,15604362,Silva,709.0,Spain,Male,47,4,78571.19,4,1,0,94925.41,1
4730,15604729,Costa,801.0,Germany,Male,70,1,61912.42,2,0,0,43283.67,1
7685,15607684,Andersen,656.0,Germany,Male,43,8,0.0,1,0,0,188520.4,1
4452,15604451,Garcia,597.0,France,Male,54,0,62113.49,1,1,0,120664.17,0
5972,15605971,Dubois,750.0,France,female,49,6,38746.82,1,1,1,147711.38,1
485,15600484,Silva,619.0,Germany,Male,39,3,0.0,1,1,1,25766.47,0
8219,15608218,Silva,540.0, Spain  ,Male,38,3,123026.96,2,1,1,60812.01,0
4117,15604116,Smith,736.0,Spain,Female,48,7,132079.64,2,1,1,23281.78,0
9162,15609161,Costa,603.0, Germany  ,female,52,8,0.0,1,0,0,174851.48,0
4047,15604046,Silva,716.0,France,Female,51,7,169658.65,2,1,0,26924.02,0
6710,15606709,Silva,783.0,France,Male,48,5,60842.83,1,1,1,197082.74,1
2528,15602527,Moreau,468.0,Germany,Male,55,2,54294.1,3,0,1,138321.34,0
1476,15601475,Kowalski,799.0,Spain,Female,62,7,0.0,1,1,0,1601.55,1
279,15600278,Okafor,698.0,Spain,male,54,3,71386.32,2,0,0,173046.66,0
3377,15603376,Andersen,665.0, FRANCE  ,Male,80,10,0.0,2,1,1,157870.08,1
4142,15604141,Schmidt,690.0,France,Male,59,2,63830.05,1,0,1,150184.98,1
7029,15607028,Tanaka,478.0,Spain,Male,61,4,115937.08,1,1,0,2614.96,0
620,15600619,Rossi,719.0,France,male,51,1,90897.54,1,0,0,21092.72,1
3834,15603833,Costa,763.0,Germany,Male,40,4,118685.58,4,1,1,193143.34,0
8086,15608085,Rossi,671.0,France,Male,60,5,0.0,1,0,0,39852.67,0
3904,15603903,Smith,665.0,France,Female,49,2,0.0,1,1,1,121301.16,0
2718,15602717,Costa,649.0,Spain,Female,46,4,98981.83,2,1,1,193001.58,0
5065,15605064,Andersen,552.0,France,Male,34,5,0.0,2,1,0,48659.32,0
4447,15604446,Kowalski,811.0,France,Male,49,2,53950.46,1,1,1,50419.51,0
8955,15608954,Schmidt,640.0,France,Male,44,10,0.0,1,0,0,166692.35,0
2444,15602443,Dubois,791.0, Spain  ,Male,67,0,0.0,1,0,0,190748.18,1
9511,15609510,Dubois,637.0,Germany,Male,52,10,0.0,1,1,0,86330.81,1
378,15600377,Kumar,697.0,France,Male,60,0,81083.34,1,1,0,145007.44,0
6290,15606289,Petrov,655.0,France,Male,51,7,0.0,1,0,1,113353.88,0
6210,15606209,Novak,767.0,GERMANY,Female,41,7,0.0,2,1,1,107242.17,1
5076,15605075,Ivanov,384.0,Spain,Female,39,1,66875.75,1,1,0,64268.45,0
5001,15605000,Muller,795.0,France,male,67,2,0.0,2,0,0,53759.77,0
4752,15604751,Rossi,720.0,GERMANY,Male,57,8,0.0,1,1,1,142674.39,1
3507,15603506,Petrov,682.0,Germany,Male,45,0,41589.07,2,1,0,181454.85,1
3494,15603493,Kumar,662.0,France,Female,36,6,0.0,2,1,0,79718.45,0
6773,15606772,Bianchi,700.0, France  ,Female,55,8,0.0,1,0,0,93319.05,1
1721,15601720,Okafor,772.0,GERMANY,Male,39,3,0.0,1,1,1,40622.0,1
9807,15609806,Schmidt,681.0,Spain,Male,46,10,143875.64,2,0,1,176405.69,0
9224,15609223,Kowalski,571.0,France,Male,44,4,122458.53,2,0,1,67478.4,0
392,15600391,Muller,734.0,France,Female,54,7,133381.31,3,0,1,140097.68,0
9705,15609704,Okafor,746.0,Spain,Male,67,0,174385.6,1,0,0,21616.99,0
8831,15608830,Moreau,748.0, Germany  ,Female,44,4,76386.3,1,1,1,120366.75,0
8511,15608510,Costa,571.0,Spain,Female,39,3,0.0,1,1,0,174807.86,0
9476,15609475,Smith,547.0,France,Male,57,6,96801.17,2,1,1,114160.64,0
5161,15605160,Ivanov,659.0,France,Male,67,3,106028.93,1,1,0,182465.82,0
9338,15609337,Schmidt,619.0,France,male,72,8,135031.7,1,0,1,85712.27,0
6488,15606487,Garcia,540.0,France,Male,84,7,140888.52,2,1,0,112966.79,1
2976,15602975,Silva,613.0,France,Female,60,8,0.0,1,0,1,160480.5,1
4745,15604744,Costa,695.0,FRANCE,Male,59,3,0.0,2,1,1,32151.6,0
8441,15608440,Silva,618.0, Germany  ,Male,46,10,0.0,3,0,0,127007.69,0
4601,15604600,Bianchi,725.0,Germany,Male,37,6,0.0,2,1,1,62819.93,0
5545,15605544,Dubois,749.0,Spain,Male,66,6,0.0,2,0,0,106888.71,1
3385,15603384,Nguyen,662.0,France,female,67,4,0.0,2,1,1,173116.36,0
5439,15605438,Tanaka,657.0,France,Female,53,2,165125.24,2,0,1,36203.25,0
4285,15604284,Rossi,622.0,Germany,Male,57,0,0.0,1,1,1,123946.79,0
5490,15605489,Ivanov,803.0,Spain,Female,74,10,160030.36,1,1,1,198231.14,1
8352,15608351,Fischer,670.0, SPAIN  ,female,47,9,103593.98,2,1,1,161103.84,1
4085,15604084,Andersen,501.0,France,Female,70,4,0.0,1,0,0,142555.59,1
6889,15606888,Rossi,711.0, France  ,Male,61,7,71606.46,1,0,0,83382.99,0
3015,15603014,Silva,-43.0,France,Male,42,1,0.0,2,1,0,94888.5,1
1433,15601432,Muller,767.0,Germany,female,81,1,158802.12,2,0,1,156448.76,0
1704,15601703,Muller,666.0,Spain,Male,42,2,106845.45,2,1,1,12849.21,0
2875,15602874,Ivanov,649.0,France,female,41,6,0.0,1,1,1,19948.66,0
3593,15603592,Bianchi,601.0,France,Female,57,0,0.0,1,0,0,194202.54,0
3043,15603042,Kowalski,757.0, France  ,Male,54,2,62341.68,3,1,1,64723.57,0
6196,15606195,Ivanov,679.0,Germany,Male,42,9,114674.85,1,1,1,35304.14,0
5253,15605252,Kumar,642.0,FRANCE,Male,39,7,62867.21,1,1,1,184463.99,0
2520,15602519,Bianchi,577.0,FRANCE,Female,60,9,0.0,2,1,0,14186.27,1
6375,15606374,Rossi,758.0,SPAIN,Female,54,8,0.0,2,0,0,198488.17,1
4873,15604872,Okafor,796.0,FRANCE,Male,62,7,55182.6,1,1,1,42333.61,0
1757,15601756,Kowalski,633.0,France,Male,36,3,61013.56,2,1,1,184852.61,0
5311,15605310,Moreau,649.0, France  ,male,60,10,104664.91,2,1,1,72379.62,0
7750,15607749,Bianchi,732.0,France,Male,57,2,86714.65,2,1,1,77548.67,0
9278,15609277,Muller,629.0,France,Male,73,4,0.0,1,1,0,,1
737,15600736,Kumar,612.0, France  ,Male,60,9,79460.53,2,1,0,18673.17,1
551,15600550,Petrov,850.0,Spain,Male,47,0,80547.22,1,1,1,29288.09,0
4535,15604534,Smith,504.0,France,Male,47,9,0.0,1,1,1,190219.62,0
1841,15601840,Tanaka,646.0,Germany,male,57,10,89892.14,1,1,1,120669.57,0
2207,15602206,Rossi,642.0,Spain,Female,67,10,55618.96,1,1,0,116376.66,0
8447,15608446,Silva,470.0,GERMANY,female,29,4,81918.24,2,1,1,53495.72,0
4463,15604462,Fischer,666.0,France,Female,80,1,171704.69,1,0,0,60277.84,1
8030,15608029,Fischer,582.0,Spain,female,42,1,84246.38,1,1,0,148272.97,0
6920,15606919,Nguyen,621.0,Spain,Male,73,4,,2,1,0,54256.12,0
6382,15606381,Muller,601.0,France,Male,43,2,500.31,3,1,0,49456.36,1
2785,15602784,Moreau,567.0,Spain,Female,68,5,101263.72,1,0,1,156742.34,0
595,15600594,Kowalski,613.0,France,Male,78,10,0.0,1,1,0,100112.68,1
7172,15607171,Petrov,527.0,Germany,Female,66,8,11622.93,1,1,1,43054.05,1
2214,15602213,Rossi,730.0,Spain,Male,54,8,0.0,2,0,1,54372.57,0
2676,15602675,Fischer,722.0,Spain,Female,56,3,57696.34,1,1,1,36225.0,0
1293,15601292,Tanaka,473.0,France,Male,68,3,0.0,1,1,0,62497.26,1
4762,15604761,Petrov,651.0,France,Male,40,6,0.0,2,0,1,46882.48,0
7410,15607409,Okafor,615.0,Germany,Male,62,0,109239.95,3,1,0,98689.29,1
5564,15605563,Rossi,484.0,France,Male,68,0,0.0,3,1,1,157208.17,0
4793,15604792,Bianchi,487.0,France,Female,49,4,9960.62,2,1,0,176862.63,0
9424,15609423,Dubois,726.0,Germany,Male,86,9,0.0,2,0,0,8553.96,0
9293,15609292,Costa,695.0,France,Male,85,2,110303.06,2,0,1,75379.56,1
4413,15604412,Kowalski,669.0,SPAIN,Male,35,7,91460.9,2,1,0,187934.72,0
6116,15606115,Muller,702.0, GERMANY  ,Female,70,4,,2,0,1,27097.02,1
8138,15608137,Moreau,654.0,Germany,male,41,2,134618.14,1,1,0,198567.55,0
6893,15606892,Smith,751.0,Spain,Female,62,3,62617.39,1,0,0,160586.82,1
1931,15601930,Okafor,613.0,France,Male,51,0,172064.81,1,1,0,170153.28,1
6876,15606875,Kowalski,736.0, FRANCE  ,Male,76,2,125487.16,2,0,1,26814.45,1
6400,15606399,Moreau,682.0,France,female,74,4,0.0,1,1,1,22295.38,0
2775,15602774,Andersen,644.0,Germany,Male,70,1,125358.65,2,0,1,92379.83,0
5528,15605527,Kowalski,776.0,Germany,Female,44,6,0.0,1,1,0,166671.73,0
2286,15602285,Petrov,652.0,France,Female,35,9,0.0,2,1,1,167234.35,0
4929,15604928,Muller,736.0,Spain,Male,40,0,83864.38,1,1,1,11117.58,1
9087,15609086,Costa,621.0,Spain,Female,55,6,130999.71,1,1,1,188029.57,1
8500,15608499,Petrov,587.0,France,Male,64,4,0.0,1,1,0,74267.22,0
1940,15601939,Dubois,663.0,France,Female,43,3,135533.21,1,0,1,172428.18,0
4985,15604984,Muller,699.0,Germany,Female,62,6,,2,1,0,116066.75,1
7981,15607980,Schmidt,645.0,France,Female,60,6,0.0,1,1,1,58699.24,1
6041,15606040,Ivanov,743.0,Germany,Male,52,8,51180.76,1,1,1,115917.55,0
3340,15603339,Schmidt,730.0,France,Female,87,6,0.0,2,1,0,197562.34,1
1234,15601233,Kumar,664.0,Germany,Female,65,4,15036.42,2,1,1,65052.73,0
131,15600130,Fischer,679.0,Spain,Male,52,2,0.0,2,1,0,51789.46,0
7116,15607115,Moreau,610.0,Germany,Male,44,1,84471.8,2,1,0,23980.7,0
2681,15602680,Rossi,688.0, Spain  ,Female,66,9,0.0,1,1,1,37779.19,1
8330,15608329,Novak,494.0,France,Male,39,10,138745.6,3,1,0,58588.39,0
2186,15602185,Garcia,802.0,France,Female,67,2,81875.38,1,1,0,196670.48,1
8700,15608699,Petrov,595.0,France,male,92,1,96131.65,2,1,0,88526.54,0
3944,15603943,Bianchi,623.0,France,Male,63,8,66963.41,1,1,1,18075.26,0
640,15600639,Moreau,728.0, Spain  ,Male,65,7,,1,0,1,46395.92,0
2647,15602646,Fischer,793.0, Spain  ,Female,72,7,0.0,1,1,0,167006.27,1
1006,15601005,Moreau,725.0,France,Male,50,7,0.0,2,0,1,190277.98,0
8057,15608056,Novak,635.0,SPAIN,Male,43,9,0.0,1,1,1,179752.52,0
6147,15606146,Andersen,606.0, France  ,Female,52,8,113596.34,2,0,1,130477.83,0
4491,15604490,Muller,773.0,France,female,52,3,56713.97,1,1,0,195875.32,1
9267,15609266,Andersen,617.0,FRANCE,Male,48,8,0.0,1,1,0,41925.51,0
409,15600408,Moreau,577.0,Spain,Male,58,10,54838.16,1,1,1,29211.21,0
5148,15605147,Petrov,622.0,France,Female,39,5,0.0,1,1,0,141587.35,0
4895,15604894,Silva,700.0,Spain,Male,66,1,118424.58,2,0,0,123934.84,0
9534,15609533,Costa,730.0,France,Female,46,0,0.0,1,1,0,80117.98,0
2940,15602939,Muller,695.0,Germany,female,64,8,72523.64,1,0,0,13111.32,1
4632,15604631,Garcia,680.0, France  ,Male,83,8,83805.05,1,1,1,135618.53,0
9036,15609035,Garcia,560.0,France,Male,48,7,74199.43,1,1,1,67395.61,0
9404,15609403,Tanaka,577.0,France,female,54,6,128857.39,1,1,1,147938.34,0
5812,15605811,Novak,770.0,SPAIN,Male,48,2,0.0,1,1,0,3345.37,0
8428,15608427,Rossi,724.0,Germany,female,44,6,0.0,1,0,1,178254.69,1
1050,15601049,Rossi,707.0,France,male,72,0,92351.74,2,1,1,111257.64,1
7832,15607831,Kowalski,530.0,Germany,Male,47,4,191852.2,1,1,0,24862.6,0
3069,15603068,Rossi,654.0,Spain,Female,39,8,65844.48,2,1,0,87719.52,0
1760,15601759,Fischer,722.0,Germany,Male,69,1,,1,0,0,20557.61,1
8338,15608337,Andersen,752.0,France,Female,59,10,146947.5,1,1,0,38408.59,1
626,15600625,Dubois,657.0,Spain,Male,47,3,0.0,2,0,1,41281.72,0
4475,15604474,Schmidt,664.0,France,Male,51,4,68218.31,2,1,1,17036.66,0
5617,15605616,Nguyen,602.0,France,Female,59,6,87841.86,1,1,1,27196.48,0
7121,15607120,Andersen,516.0,Spain,Male,58,9,37375.14,1,0,1,149057.0,1
5708,15605707,Kowalski,569.0,,Female,56,0,0.0,1,0,0,73381.18,1
8045,15608044,Tanaka,751.0,France,Male,46,8,0.0,2,1,0,153421.56,0
7040,15607039,Nguyen,575.0,FRANCE,Female,78,5,0.0,1,1,1,196852.03,1
9863,15609862,Schmidt,546.0,FRANCE,female,42,3,77967.94,2,0,0,199989.74,0
4251,15604250,Tanaka,741.0,Spain,Female,44,4,62530.89,2,1,0,3037.83,0
2243,15602242,Silva,666.0,Germany,Female,72,4,0.0,2,0,0,159945.43,1
6459,15606458,Kowalski,765.0,Spain,Male,35,8,30342.84,2,0,1,154399.86,1
3420,15603419,Garcia,601.0,Germany,Female,47,3,0.0,3,1,0,178400.45,1
1719,15601718,Tanaka,636.0,France,male,80,4,0.0,4,1,0,82168.31,0
1267,15601266,Okafor,, Germany  ,male,67,7,161838.15,2,1,1,146708.14,0
8710,15608709,Schmidt,575.0,Germany,Female,92,10,0.0,1,1,0,192477.58,0
6128,15606127,Schmidt,605.0,Spain,Male,63,8,152365.47,1,1,0,123552.97,1
7270,15607269,Fischer,667.0,France,Female,40,7,113789.01,1,0,0,163408.46,0
7708,15607707,Ivanov,591.0,Germany,Female,65,3,0.0,2,1,0,54731.05,0
460,15600459,Rossi,680.0,France,male,54,9,138712.2,2,0,0,181383.28,1
1489,15601488,Rossi,554.0,Spain,Male,64,7,0.0,1,1,1,35204.67,1
100,15600099,Rossi,758.0,France,Male,48,0,0.0,1,1,1,31516.47,0
255,15600254,Costa,519.0,Spain,Male,49,9,95185.04,4,1,0,12593.13,1
1434,15601433,Fischer,658.0,France,Female,74,1,77852.54,1,1,0,72538.92,1
2607,15602606,Andersen,682.0,France,female,65,4,0.0,2,0,0,107180.57,1
8730,15608729,Kumar,800.0,France,Male,39,9,0.0,1,0,1,122960.72,0
2942,15602941,Moreau,652.0,Spain,Female,42,9,0.0,2,1,0,85480.36,0
2986,15602985,Novak,532.0,Germany,Female,46,10,72519.5,2,0,0,95321.98,1
8181,15608180,Silva,686.0,France,Male,71,1,0.0,1,1,0,74559.49,0
8679,15608678,Fischer,736.0,Spain,Female,48,8,0.0,1,1,0,2618.58,0
821,15600820,Smith,473.0,FRANCE,Male,42,4,95610.9,1,1,0,118810.43,0
957,15600956,Tanaka,460.0,Germany,Female,39,0,0.0,2,0,1,35720.56,0
3732,15603731,Schmidt,850.0,France,female,73,5,0.0,2,1,0,168420.63,1
8209,15608208,Kowalski,728.0,GERMANY,Female,65,8,0.0,1,1,1,87366.29,1
8103,15608102,Muller,617.0,France,Male,47,0,,2,1,1,13459.07,0
2377,15602376,Schmidt,621.0,Germany,female,44,2,0.0,2,1,1,125889.67,0
826,15600825,Okafor,554.0,Germany,Female,88,2,0.0,2,1,0,183033.46,0
5125,15605124,Rossi,623.0,France,Male,48,8,0.0,2,1,0,6540.0,1
6426,15606425,Nguyen,531.0,France,Male,70,10,0.0,2,1,1,88863.46,0
2053,15602052,Ivanov,728.0,France,male,52,6,0.0,2,1,1,179138.74,0
2803,15602802,Bianchi,701.0,France,Male,53,5,54281.56,1,1,0,54529.86,0
6932,15606931,Nguyen,850.0,Spain,Female,34,0,118657.29,1,1,1,185786.18,1
6184,15606183,Moreau,850.0,France,Female,51,6,0.0,1,1,0,182218.17,0
2886,15602885,Muller,786.0, Spain  ,Male,52,4,77619.03,2,1,0,38993.52,0
2029,15602028,Andersen,654.0,FRANCE,Male,42,0,0.0,2,0,1,99856.49,0
5074,15605073,Nguyen,726.0,Spain,Female,52,0,58937.51,4,1,1,61945.85,0
5108,15605107,Bianchi,726.0,France,Male,31,10,78683.3,1,1,0,152393.84,0
7279,15607278,Andersen,580.0,Germany,Male,77,6,0.0,1,1,0,170100.04,1
805,15600804,Kumar,566.0, GERMANY  ,Female,48,1,0.0,1,1,1,30239.49,0
2374,15602373,Ivanov,557.0,Spain,Male,48,10,0.0,1,1,0,81447.75,1
6215,15606214,Kumar,499.0,Spain,Male,51,6,108761.26,2,1,1,51029.54,0
7460,15607459,Nguyen,612.0,France,Male,68,1,50884.5,2,1,0,116242.32,0
261,15600260,Nguyen,695.0,France,Male,49,6,0.0,2,1,0,76566.52,1
4522,15604521,Costa,569.0,France,Male,73,0,156925.77,2,0,0,186303.1,1
219,15600218,Tanaka,850.0,France,Female,66,9,0.0,2,0,0,118514.6,1
3477,15603476,Andersen,421.0,Germany,Female,85,6,0.0,1,1,1,112973.21,1
5024,15605023,Tanaka,753.0,France,Male,52,0,39926.98,1,0,1,23789.33,0
7580,15607579,Costa,646.0,France,Male,46,10,123420.4,1,1,0,168651.3,0
2451,15602450,Petrov,760.0,France,Male,42,2,0.0,1,1,1,26866.15,1
2104,15602103,Rossi,607.0,GERMANY,Male,37,1,137876.07,1,1,0,179804.62,0
3161,15603160,Rossi,,Germany,Female,44,5,130373.61,1,1,0,112259.9,1
8618,15608617,Moreau,701.0,Germany,Male,59,8,103768.0,2,1,1,76722.08,1
4098,15604097,Rossi,656.0,Spain,Male,92,2,152241.13,2,0,0,59841.88,0
3436,15603435,Novak,592.0,SPAIN,Male,59,5,0.0,2,0,0,5606.33,0
7183,15607182,Okafor,540.0,Spain,Female,51,10,99834.85,1,1,0,192811.15,0
601,15600600,Novak,555.0, SPAIN  ,Male,59,5,131547.18,1,1,0,159834.73,1
2482,15602481,Schmidt,596.0,France,Male,49,7,0.0,2,0,0,66081.98,0
690,15600689,Nguyen,638.0,Germany,Male,63,7,132707.0,4,1,1,143192.14,1
9150,15609149,Petrov,542.0,Spain,Female,52,4,99900.4,1,1,1,61035.28,1
2423,15602422,Rossi,593.0,France,Female,37,3,112525.97,3,0,1,96341.26,0
6185,15606184,Muller,679.0,France,Female,55,2,0.0,2,0,1,59335.19,0
2982,15602981,Okafor,544.0,France,Male,65,0,,1,1,1,31186.09,1
3348,15603347,Rossi,705.0,France,Male,76,9,93820.55,2,1,0,58546.52,0
6662,15606661,Moreau,825.0,Germany,male,83,6,0.0,2,1,0,5605.56,0
7157,15607156,Kumar,803.0,Spain,Female,44,6,18791.03,2,1,1,37835.88,0
2730,15602729,Silva,827.0,Spain,male,46,3,0.0,1,1,0,72199.59,0
2771,15602770,Costa,469.0, Germany  ,Female,41,8,0.0,1,0,1,72924.56,0
3892,15603891,Moreau,608.0,Germany,Male,56,1,187518.65,2,0,1,103721.87,0
9738,15609737,Tanaka,511.0,Germany,male,60,6,115429.26,1,0,1,179722.38,0
6574,15606573,Novak,574.0,France,Male,57,8,135940.13,1,0,1,136315.27,0
1166,15601165,Rossi,725.0,GERMANY,Female,63,9,92497.57,1,0,0,185880.63,1
5728,15605727,Rossi,743.0,France,Male,53,8,0.0,1,1,0,72809.33,0
8523,15608522,Kumar,492.0,France,Male,52,10,0.0,1,0,1,186257.23,0
1061,15601060,Nguyen,709.0,Spain,female,46,9,0.0,3,0,1,168356.38,0
8661,15608660,Moreau,748.0,Spain,Female,41,0,0.0,1,1,0,196039.39,1
6474,15606473,Bianchi,559.0, France  ,Male,50,8,57097.99,1,1,1,145965.56,0
3113,15603112,Okafor,588.0,Germany,Male,63,5,0.0,1,1,0,42649.53,1
4149,15604148,Schmidt,581.0,France,Female,61,2,0.0,1,1,1,197521.17,1
9225,15609224,Okafor,673.0,Germany,Male,92,5,0.0,1,1,0,70443.59,1
8774,15608773,Kowalski,599.0,Germany,Male,49,6,170847.76,4,1,1,126334.76,0
5084,15605083,Tanaka,713.0,France,Female,53,2,79880.38,1,1,1,157412.64,1
5064,15605063,Novak,523.0,France,Male,41,9,52002.4,1,1,1,54047.01,0
6617,15606616,Silva,748.0, France  ,Male,47,2,0.0,1,1,1,154890.46,0
8574,15608573,Moreau,761.0,France,Male,46,4,0.0,1,1,0,100248.39,0
1926,15601925,Rossi,714.0,France,Male,92,6,0.0,1,1,1,134418.14,0
5854,15605853,Costa,637.0,France,Male,53,5,110746.34,2,1,1,135615.31,0
2356,15602355,Ivanov,687.0,France,Female,39,0,0.0,2,0,0,19244.61,0
1086,15601085,Petrov,833.0,Germany,Female,56,3,100115.12,1,0,0,86603.77,1
7004,15607003,Fischer,761.0,GERMANY,Male,60,10,84021.62,1,1,1,161689.47,0
6820,15606819,Rossi,671.0,France,Female,62,0,54524.67,1,1,0,,1
308,15600307,Fischer,709.0,Spain,Male,41,2,116619.93,1,1,0,10354.76,0
3073,15603072,Dubois,808.0,Germany,female,51,8,54999.88,1,1,1,79309.62,1
6236,15606235,Costa,585.0,Germany,Female,55,9,0.0,1,1,0,87825.54,1
6822,15606821,Costa,593.0,FRANCE,Female,52,2,153146.17,1,1,1,156273.74,1
6524,15606523,Costa,,FRANCE,Female,49,8,0.0,1,0,1,16283.84,0
4281,15604280,Silva,773.0, Germany  ,Male,46,8,144636.94,2,1,1,39438.85,0
2368,15602367,Muller,524.0, Spain  ,Male,69,7,54096.07,2,1,1,41328.41,1
1298,15601297,Costa,576.0,France,Female,41,3,0.0,1,0,1,150106.8,1
7212,15607211,Smith,670.0,Germany,Male,58,2,84207.93,1,0,0,39237.5,0
6006,15606005,Dubois,624.0,Germany,Female,42,5,100794.53,2,1,1,115620.67,1
7701,15607700,Andersen,734.0,Spain,male,47,6,107203.67,2,1,1,168831.21,0
9068,15609067,Silva,618.0,SPAIN,Female,43,5,0.0,2,0,0,162925.44,0
1947,15601946,Muller,763.0,Spain,male,46,6,74949.23,2,1,1,197612.65,0
5017,15605016,Okafor,838.0,Spain,Male,35,1,61830.55,1,0,1,99729.39,0
1171,15601170,Novak,635.0,France,Male,55,5,93046.21,1,0,1,155835.09,0
223,15600222,Kumar,804.0, France  ,Male,57,3,0.0,1,1,0,186837.47,0
9191,15609190,Rossi,432.0, France  ,Female,68,1,0.0,1,1,1,166162.87,0
1991,15601990,Andersen,754.0, France  ,male,54,7,138111.7,1,1,1,140740.12,1
4152,15604151,Andersen,655.0,Germany,Female,58,10,63796.1,3,1,0,78910.93,0
4643,15604642,Bianchi,615.0, Spain  ,Male,55,5,0.0,1,1,1,22101.25,1
3418,15603417,Schmidt,643.0, France  ,Female,62,5,0.0,1,1,0,151089.38,1
8591,15608590,Tanaka,510.0,France,Female,53,7,103126.37,2,1,0,128433.79,1
9609,15609608,Silva,702.0,France,female,48,2,147948.25,2,1,0,33191.3,0
6361,15606360,Novak,664.0,France,Female,55,2,70509.7,2,1,1,17419.46,0
5341,15605340,Kowalski,665.0,France,Male,52,2,93422.05,1,1,0,39080.76,1
8268,15608267,Andersen,544.0,France,female,69,7,137605.04,1,1,1,187447.51,1
575,15600574,Smith,551.0,Germany,Female,46,5,70185.82,2,1,0,170775.04,0
940,15600939,Andersen,692.0,Spain,Male,40,4,94287.41,1,1,0,16273.88,0
1546,15601545,Fischer,645.0,Germany,Male,83,5,88821.54,1,1,1,171815.09,1
287,15600286,Muller,583.0,France,Female,38,9,66354.42,2,1,1,192949.7,0
8300,15608299,Tanaka,620.0,GERMANY,Female,51,4,114478.16,1,1,1,50296.26,0
6244,15606243,Kowalski,620.0,Spain,Female,46,6,80526.13,2,1,1,89882.17,0
2836,15602835,Andersen,581.0,Spain,Male,88,4,93123.55,2,1,0,139521.16,1
2345,15602344,Fischer,632.0,GERMANY,Female,40,3,149903.35,2,1,1,26681.88,0
8443,15608442,Kowalski,835.0,Germany,male,40,6,114401.17,1,1,1,152108.39,1
996,15600995,Novak,527.0,France,Female,65,1,,1,1,1,155137.69,0
764,15600763,Moreau,716.0,Germany,Male,66,3,186329.91,1,1,0,199532.54,1
9111,15609110,Muller,607.0,FRANCE,Female,65,2,53803.96,1,1,0,57748.26,1
